Canadian Province/CMA,Visible minority,"Highest certificate, diploma or degree",Gender,Total - Labour force status,In the labour force,Employed,Unemployed,Not in the labour force,Participation rate,Employment rate,Unemployment rate,Province
Halifax,Southeast Asian,Bachelor's degree or higher,Women+,100.0,75.0,65.0,10.0,25.0,75.0,65.0,13.3,Nova Scotia
Halifax,Southeast Asian,"College, CEGEP or other non-university certificate or diploma",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,Southeast Asian,"College, CEGEP or other non-university certificate or diploma",Women+,10.0,10.0,0.0,10.0,0.0,100.0,0.0,100.0,Nova Scotia
Halifax,Southeast Asian,High (secondary) school diploma or equivalency certificate,Men+,35.0,20.0,15.0,10.0,10.0,57.1,42.9,50.0,Nova Scotia
Halifax,Southeast Asian,High (secondary) school diploma or equivalency certificate,Women+,20.0,10.0,10.0,0.0,10.0,50.0,50.0,0.0,Nova Scotia
Halifax,Southeast Asian,"No certificate, diploma or degree",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,Southeast Asian,"No certificate, diploma or degree",Women+,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,Southeast Asian,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,Southeast Asian,University certificate or diploma below bachelor level,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",Bachelor's degree or higher,Men+,15.0,15.0,15.0,0.0,0.0,100.0,100.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",Bachelor's degree or higher,Women+,15.0,15.0,15.0,0.0,0.0,100.0,100.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.","College, CEGEP or other non-university certificate or diploma",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.","College, CEGEP or other non-university certificate or diploma",Women+,15.0,15.0,0.0,0.0,0.0,100.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",High (secondary) school diploma or equivalency certificate,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",High (secondary) school diploma or equivalency certificate,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.","No certificate, diploma or degree",Men+,35.0,25.0,20.0,0.0,10.0,71.4,57.1,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.","No certificate, diploma or degree",Women+,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,"Visible minority, n.i.e.",University certificate or diploma below bachelor level,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,Apprenticeship or trades certificate or diploma,Men+,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,Bachelor's degree or higher,Men+,65.0,55.0,35.0,15.0,0.0,84.6,53.8,27.3,Nova Scotia
Halifax,West Asian,Bachelor's degree or higher,Women+,85.0,60.0,50.0,10.0,25.0,70.6,58.8,16.7,Nova Scotia
Halifax,West Asian,"College, CEGEP or other non-university certificate or diploma",Men+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Nova Scotia
Halifax,West Asian,"College, CEGEP or other non-university certificate or diploma",Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,High (secondary) school diploma or equivalency certificate,Men+,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,High (secondary) school diploma or equivalency certificate,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,"No certificate, diploma or degree",Men+,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,"No certificate, diploma or degree",Women+,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Halifax,West Asian,University certificate or diploma below bachelor level,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
Hamilton,Arab,Apprenticeship or trades certificate or diploma,Men+,50.0,20.0,15.0,0.0,25.0,40.0,30.0,0.0,Ontario
Hamilton,Arab,Apprenticeship or trades certificate or diploma,Women+,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,Ontario
Hamilton,Arab,Bachelor's degree or higher,Men+,480.0,390.0,350.0,45.0,85.0,81.3,72.9,11.5,Ontario
Hamilton,Arab,Bachelor's degree or higher,Women+,510.0,265.0,195.0,75.0,240.0,52.0,38.2,28.3,Ontario
Hamilton,Arab,"College, CEGEP or other non-university certificate or diploma",Men+,110.0,90.0,80.0,10.0,20.0,81.8,72.7,11.1,Ontario
Hamilton,Arab,"College, CEGEP or other non-university certificate or diploma",Women+,160.0,60.0,40.0,15.0,100.0,37.5,25.0,25.0,Ontario
Hamilton,Arab,High (secondary) school diploma or equivalency certificate,Men+,325.0,185.0,135.0,45.0,140.0,56.9,41.5,24.3,Ontario
Hamilton,Arab,High (secondary) school diploma or equivalency certificate,Women+,350.0,115.0,60.0,60.0,235.0,32.9,17.1,52.2,Ontario
Hamilton,Arab,"No certificate, diploma or degree",Men+,665.0,225.0,195.0,30.0,440.0,33.8,29.3,13.3,Ontario
Hamilton,Arab,"No certificate, diploma or degree",Women+,635.0,75.0,55.0,20.0,555.0,11.8,8.7,26.7,Ontario
Hamilton,Arab,University certificate or diploma below bachelor level,Men+,65.0,55.0,45.0,0.0,10.0,84.6,69.2,0.0,Ontario
Hamilton,Arab,University certificate or diploma below bachelor level,Women+,25.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,Ontario
Hamilton,Black,Apprenticeship or trades certificate or diploma,Men+,75.0,75.0,70.0,0.0,0.0,100.0,93.3,0.0,Ontario
Hamilton,Black,Apprenticeship or trades certificate or diploma,Women+,45.0,35.0,35.0,0.0,15.0,77.8,77.8,0.0,Ontario
Hamilton,Black,Bachelor's degree or higher,Men+,485.0,440.0,405.0,30.0,50.0,90.7,83.5,6.8,Ontario
Hamilton,Black,Bachelor's degree or higher,Women+,565.0,495.0,420.0,75.0,75.0,87.6,74.3,15.2,Ontario
Hamilton,Black,"College, CEGEP or other non-university certificate or diploma",Men+,160.0,145.0,120.0,25.0,15.0,90.6,75.0,17.2,Ontario
Hamilton,Black,"College, CEGEP or other non-university certificate or diploma",Women+,195.0,150.0,125.0,20.0,50.0,76.9,64.1,13.3,Ontario
Hamilton,Black,High (secondary) school diploma or equivalency certificate,Men+,315.0,205.0,180.0,20.0,110.0,65.1,57.1,9.8,Ontario
Hamilton,Black,High (secondary) school diploma or equivalency certificate,Women+,290.0,140.0,95.0,45.0,155.0,48.3,32.8,32.1,Ontario
Hamilton,Black,"No certificate, diploma or degree",Men+,280.0,120.0,95.0,30.0,155.0,42.9,33.9,25.0,Ontario
Hamilton,Black,"No certificate, diploma or degree",Women+,300.0,50.0,45.0,0.0,250.0,16.7,15.0,0.0,Ontario
Hamilton,Black,University certificate or diploma below bachelor level,Men+,25.0,10.0,10.0,0.0,10.0,40.0,40.0,0.0,Ontario
Hamilton,Black,University certificate or diploma below bachelor level,Women+,45.0,45.0,30.0,10.0,0.0,100.0,66.7,22.2,Ontario
Hamilton,Chinese,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Chinese,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Chinese,Bachelor's degree or higher,Men+,260.0,190.0,175.0,15.0,70.0,73.1,67.3,7.9,Ontario
Hamilton,Chinese,Bachelor's degree or higher,Women+,285.0,175.0,145.0,35.0,105.0,61.4,50.9,20.0,Ontario
Hamilton,Chinese,"College, CEGEP or other non-university certificate or diploma",Men+,40.0,30.0,30.0,0.0,10.0,75.0,75.0,0.0,Ontario
Hamilton,Chinese,"College, CEGEP or other non-university certificate or diploma",Women+,100.0,45.0,45.0,0.0,50.0,45.0,45.0,0.0,Ontario
Hamilton,Chinese,High (secondary) school diploma or equivalency certificate,Men+,55.0,15.0,10.0,0.0,45.0,27.3,18.2,0.0,Ontario
Hamilton,Chinese,High (secondary) school diploma or equivalency certificate,Women+,100.0,25.0,10.0,15.0,75.0,25.0,10.0,60.0,Ontario
Hamilton,Chinese,"No certificate, diploma or degree",Men+,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,Ontario
Hamilton,Chinese,"No certificate, diploma or degree",Women+,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Ontario
Hamilton,Chinese,University certificate or diploma below bachelor level,Men+,15.0,10.0,10.0,0.0,0.0,66.7,66.7,0.0,Ontario
Hamilton,Chinese,University certificate or diploma below bachelor level,Women+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Ontario
Hamilton,Filipino,Apprenticeship or trades certificate or diploma,Men+,45.0,45.0,45.0,0.0,0.0,100.0,100.0,0.0,Ontario
Hamilton,Filipino,Apprenticeship or trades certificate or diploma,Women+,45.0,30.0,30.0,0.0,10.0,66.7,66.7,0.0,Ontario
Hamilton,Filipino,Bachelor's degree or higher,Men+,290.0,285.0,255.0,25.0,0.0,98.3,87.9,8.8,Ontario
Hamilton,Filipino,Bachelor's degree or higher,Women+,490.0,430.0,410.0,25.0,55.0,87.8,83.7,5.8,Ontario
Hamilton,Filipino,"College, CEGEP or other non-university certificate or diploma",Men+,55.0,60.0,50.0,10.0,0.0,100.0,90.9,16.7,Ontario
Hamilton,Filipino,"College, CEGEP or other non-university certificate or diploma",Women+,175.0,160.0,150.0,0.0,20.0,91.4,85.7,0.0,Ontario
Hamilton,Filipino,High (secondary) school diploma or equivalency certificate,Men+,250.0,200.0,195.0,0.0,55.0,80.0,78.0,0.0,Ontario
Hamilton,Filipino,High (secondary) school diploma or equivalency certificate,Women+,185.0,160.0,135.0,25.0,30.0,86.5,73.0,15.6,Ontario
Hamilton,Filipino,"No certificate, diploma or degree",Men+,120.0,60.0,55.0,0.0,60.0,50.0,45.8,0.0,Ontario
Hamilton,Filipino,"No certificate, diploma or degree",Women+,150.0,55.0,45.0,0.0,100.0,36.7,30.0,0.0,Ontario
Hamilton,Filipino,University certificate or diploma below bachelor level,Men+,55.0,50.0,45.0,0.0,0.0,90.9,81.8,0.0,Ontario
Hamilton,Filipino,University certificate or diploma below bachelor level,Women+,40.0,35.0,35.0,0.0,0.0,87.5,87.5,0.0,Ontario
Hamilton,Japanese,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,Bachelor's degree or higher,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,Bachelor's degree or higher,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,"College, CEGEP or other non-university certificate or diploma",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,"College, CEGEP or other non-university certificate or diploma",Women+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Ontario
Hamilton,Japanese,High (secondary) school diploma or equivalency certificate,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,High (secondary) school diploma or equivalency certificate,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,"No certificate, diploma or degree",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,"No certificate, diploma or degree",Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Japanese,University certificate or diploma below bachelor level,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,Bachelor's degree or higher,Men+,55.0,50.0,50.0,0.0,0.0,90.9,90.9,0.0,Ontario
Hamilton,Korean,Bachelor's degree or higher,Women+,85.0,50.0,40.0,10.0,30.0,58.8,47.1,20.0,Ontario
Hamilton,Korean,"College, CEGEP or other non-university certificate or diploma",Men+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Ontario
Hamilton,Korean,"College, CEGEP or other non-university certificate or diploma",Women+,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,High (secondary) school diploma or equivalency certificate,Men+,45.0,20.0,10.0,15.0,20.0,44.4,22.2,75.0,Ontario
Hamilton,Korean,High (secondary) school diploma or equivalency certificate,Women+,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,"No certificate, diploma or degree",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,"No certificate, diploma or degree",Women+,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Korean,University certificate or diploma below bachelor level,Women+,15.0,10.0,0.0,0.0,10.0,66.7,0.0,0.0,Ontario
Hamilton,Latin American,Apprenticeship or trades certificate or diploma,Men+,35.0,30.0,30.0,0.0,10.0,85.7,85.7,0.0,Ontario
Hamilton,Latin American,Apprenticeship or trades certificate or diploma,Women+,25.0,20.0,15.0,0.0,10.0,80.0,60.0,0.0,Ontario
Hamilton,Latin American,Bachelor's degree or higher,Men+,205.0,185.0,175.0,10.0,20.0,90.2,85.4,5.4,Ontario
Hamilton,Latin American,Bachelor's degree or higher,Women+,300.0,240.0,215.0,25.0,60.0,80.0,71.7,10.4,Ontario
Hamilton,Latin American,"College, CEGEP or other non-university certificate or diploma",Men+,30.0,30.0,20.0,10.0,0.0,100.0,66.7,33.3,Ontario
Hamilton,Latin American,"College, CEGEP or other non-university certificate or diploma",Women+,75.0,55.0,45.0,0.0,20.0,73.3,60.0,0.0,Ontario
Hamilton,Latin American,High (secondary) school diploma or equivalency certificate,Men+,135.0,100.0,100.0,0.0,35.0,74.1,74.1,0.0,Ontario
Hamilton,Latin American,High (secondary) school diploma or equivalency certificate,Women+,140.0,85.0,65.0,20.0,55.0,60.7,46.4,23.5,Ontario
Hamilton,Latin American,"No certificate, diploma or degree",Men+,65.0,35.0,25.0,10.0,35.0,53.8,38.5,28.6,Ontario
Hamilton,Latin American,"No certificate, diploma or degree",Women+,60.0,20.0,15.0,0.0,45.0,33.3,25.0,0.0,Ontario
Hamilton,Latin American,University certificate or diploma below bachelor level,Men+,30.0,30.0,25.0,0.0,0.0,100.0,83.3,0.0,Ontario
Hamilton,Latin American,University certificate or diploma below bachelor level,Women+,40.0,30.0,20.0,15.0,10.0,75.0,50.0,50.0,Ontario
Hamilton,Multiple visible minorities,Apprenticeship or trades certificate or diploma,Men+,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,Ontario
Hamilton,Multiple visible minorities,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Multiple visible minorities,Bachelor's degree or higher,Men+,60.0,50.0,50.0,0.0,0.0,83.3,83.3,0.0,Ontario
Hamilton,Multiple visible minorities,Bachelor's degree or higher,Women+,85.0,45.0,40.0,10.0,35.0,52.9,47.1,22.2,Ontario
Hamilton,Multiple visible minorities,"College, CEGEP or other non-university certificate or diploma",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Multiple visible minorities,"College, CEGEP or other non-university certificate or diploma",Women+,30.0,20.0,20.0,0.0,10.0,66.7,66.7,0.0,Ontario
Hamilton,Multiple visible minorities,High (secondary) school diploma or equivalency certificate,Men+,40.0,35.0,10.0,25.0,0.0,87.5,25.0,71.4,Ontario
Hamilton,Multiple visible minorities,High (secondary) school diploma or equivalency certificate,Women+,35.0,20.0,20.0,0.0,15.0,57.1,57.1,0.0,Ontario
Hamilton,Multiple visible minorities,"No certificate, diploma or degree",Men+,40.0,10.0,10.0,0.0,30.0,25.0,25.0,0.0,Ontario
Hamilton,Multiple visible minorities,"No certificate, diploma or degree",Women+,50.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,Ontario
Hamilton,Multiple visible minorities,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Multiple visible minorities,University certificate or diploma below bachelor level,Women+,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,South Asian,Apprenticeship or trades certificate or diploma,Men+,40.0,20.0,20.0,0.0,15.0,50.0,50.0,0.0,Ontario
Hamilton,South Asian,Apprenticeship or trades certificate or diploma,Women+,25.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,Ontario
Hamilton,South Asian,Bachelor's degree or higher,Men+,1925.0,1860.0,1760.0,100.0,65.0,96.6,91.4,5.4,Ontario
Hamilton,South Asian,Bachelor's degree or higher,Women+,1965.0,1615.0,1395.0,225.0,350.0,82.2,71.0,13.9,Ontario
Hamilton,South Asian,"College, CEGEP or other non-university certificate or diploma",Men+,295.0,260.0,255.0,10.0,30.0,88.1,86.4,3.8,Ontario
Hamilton,South Asian,"College, CEGEP or other non-university certificate or diploma",Women+,265.0,215.0,190.0,20.0,50.0,81.1,71.7,9.3,Ontario
Hamilton,South Asian,High (secondary) school diploma or equivalency certificate,Men+,220.0,150.0,130.0,25.0,70.0,68.2,59.1,16.7,Ontario
Hamilton,South Asian,High (secondary) school diploma or equivalency certificate,Women+,235.0,90.0,80.0,10.0,145.0,38.3,34.0,11.1,Ontario
Hamilton,South Asian,"No certificate, diploma or degree",Men+,145.0,55.0,50.0,10.0,90.0,37.9,34.5,18.2,Ontario
Hamilton,South Asian,"No certificate, diploma or degree",Women+,205.0,50.0,45.0,10.0,160.0,24.4,22.0,20.0,Ontario
Hamilton,South Asian,University certificate or diploma below bachelor level,Men+,55.0,50.0,40.0,0.0,0.0,90.9,72.7,0.0,Ontario
Hamilton,South Asian,University certificate or diploma below bachelor level,Women+,60.0,40.0,30.0,10.0,20.0,66.7,50.0,25.0,Ontario
Hamilton,Southeast Asian,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Southeast Asian,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Southeast Asian,Bachelor's degree or higher,Men+,50.0,40.0,30.0,10.0,15.0,80.0,60.0,25.0,Ontario
Hamilton,Southeast Asian,Bachelor's degree or higher,Women+,105.0,90.0,70.0,20.0,15.0,85.7,66.7,22.2,Ontario
Hamilton,Southeast Asian,"College, CEGEP or other non-university certificate or diploma",Men+,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,Ontario
Hamilton,Southeast Asian,"College, CEGEP or other non-university certificate or diploma",Women+,30.0,20.0,20.0,0.0,10.0,66.7,66.7,0.0,Ontario
Hamilton,Southeast Asian,High (secondary) school diploma or equivalency certificate,Men+,65.0,50.0,40.0,15.0,10.0,76.9,61.5,30.0,Ontario
Hamilton,Southeast Asian,High (secondary) school diploma or equivalency certificate,Women+,75.0,40.0,25.0,15.0,35.0,53.3,33.3,37.5,Ontario
Hamilton,Southeast Asian,"No certificate, diploma or degree",Men+,30.0,15.0,15.0,0.0,15.0,50.0,50.0,0.0,Ontario
Hamilton,Southeast Asian,"No certificate, diploma or degree",Women+,65.0,45.0,20.0,25.0,20.0,69.2,30.8,55.6,Ontario
Hamilton,Southeast Asian,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,Southeast Asian,University certificate or diploma below bachelor level,Women+,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",Bachelor's degree or higher,Men+,15.0,15.0,10.0,0.0,0.0,100.0,66.7,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",Bachelor's degree or higher,Women+,35.0,15.0,15.0,0.0,15.0,42.9,42.9,0.0,Ontario
Hamilton,"Visible minority, n.i.e.","College, CEGEP or other non-university certificate or diploma",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.","College, CEGEP or other non-university certificate or diploma",Women+,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",High (secondary) school diploma or equivalency certificate,Men+,25.0,20.0,20.0,0.0,0.0,80.0,80.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",High (secondary) school diploma or equivalency certificate,Women+,20.0,10.0,0.0,0.0,10.0,50.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.","No certificate, diploma or degree",Men+,65.0,35.0,35.0,0.0,25.0,53.8,53.8,0.0,Ontario
Hamilton,"Visible minority, n.i.e.","No certificate, diploma or degree",Women+,55.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,"Visible minority, n.i.e.",University certificate or diploma below bachelor level,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,West Asian,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,West Asian,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
Hamilton,West Asian,Bachelor's degree or higher,Men+,115.0,110.0,110.0,0.0,0.0,95.7,95.7,0.0,Ontario
Hamilton,West Asian,Bachelor's degree or higher,Women+,200.0,145.0,95.0,50.0,55.0,72.5,47.5,34.5,Ontario
Hamilton,West Asian,"College, CEGEP or other non-university certificate or diploma",Men+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Ontario
Hamilton,West Asian,"College, CEGEP or other non-university certificate or diploma",Women+,40.0,20.0,0.0,15.0,20.0,50.0,0.0,75.0,Ontario
Hamilton,West Asian,High (secondary) school diploma or equivalency certificate,Men+,135.0,80.0,75.0,0.0,60.0,59.3,55.6,0.0,Ontario
Hamilton,West Asian,High (secondary) school diploma or equivalency certificate,Women+,140.0,70.0,50.0,20.0,75.0,50.0,35.7,28.6,Ontario
Hamilton,West Asian,"No certificate, diploma or degree",Men+,110.0,55.0,35.0,20.0,55.0,50.0,31.8,36.4,Ontario
Hamilton,West Asian,"No certificate, diploma or degree",Women+,130.0,40.0,20.0,15.0,90.0,30.8,15.4,37.5,Ontario
Hamilton,West Asian,University certificate or diploma below bachelor level,Men+,15.0,10.0,10.0,0.0,0.0,66.7,66.7,0.0,Ontario
Hamilton,West Asian,University certificate or diploma below bachelor level,Women+,20.0,20.0,20.0,0.0,0.0,100.0,100.0,0.0,Ontario
Kamloops,Arab,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,Bachelor's degree or higher,Men+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Kamloops
Kamloops,Arab,Bachelor's degree or higher,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,"College, CEGEP or other non-university certificate or diploma",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,"College, CEGEP or other non-university certificate or diploma",Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,High (secondary) school diploma or equivalency certificate,Men+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Kamloops
Kamloops,Arab,High (secondary) school diploma or equivalency certificate,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,"No certificate, diploma or degree",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,"No certificate, diploma or degree",Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,University certificate or diploma below bachelor level,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Arab,University certificate or diploma below bachelor level,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Black,Apprenticeship or trades certificate or diploma,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Black,Apprenticeship or trades certificate or diploma,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Black,Bachelor's degree or higher,Men+,30.0,30.0,25.0,0.0,0.0,100.0,83.3,0.0,Kamloops
Kamloops,Black,Bachelor's degree or higher,Women+,25.0,25.0,25.0,0.0,0.0,100.0,100.0,0.0,Kamloops
Kamloops,Black,"College, CEGEP or other non-university certificate or diploma",Men+,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0,Kamloops
Kamloops,Black,"College, CEGEP or other non-university certificate or diploma",Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Black,High (secondary) school diploma or equivalency certificate,Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Black,High (secondary) school diploma or equivalency certificate,Women+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
Kamloops,Black,"No certificate, diploma or degree",Men+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamloops
