Canadian Province/CMA,Gender,Mother tongue,Population,Province
Prince Edward Island,Men+,Portuguese,35,Prince Edward Island
Prince Edward Island,Men+,Spanish,45,Prince Edward Island
Prince Edward Island,Men+,Swahili,10,Prince Edward Island
Prince Edward Island,Men+,Mandarin,570,Prince Edward Island
Prince Edward Island,Men+,Yue (Cantonese),50,Prince Edward Island
Prince Edward Island,Men+,"Chinese, n.o.s.",10,Prince Edward Island
Prince Edward Island,Men+,S'gaw Karen,10,Prince Edward Island
Prince Edward Island,Women+,English,650,Prince Edward Island
Prince Edward Island,Women+,French,45,Prince Edward Island
Prince Edward Island,Women+,Arabic,175,Prince Edward Island
Prince Edward Island,Women+,"Aramaic, n.o.s.",15,Prince Edward Island
Prince Edward Island,Women+,Vietnamese,215,Prince Edward Island
Prince Edward Island,Women+,Hiligaynon,30,Prince Edward Island
Prince Edward Island,Women+,"Tagalog (Pilipino, Filipino)",300,Prince Edward Island
Prince Edward Island,Women+,"Creole, n.o.s.",10,Prince Edward Island
Prince Edward Island,Women+,"Creole languages, n.i.e.",10,Prince Edward Island
Prince Edward Island,Women+,Malayalam,105,Prince Edward Island
Prince Edward Island,Women+,Albanian,30,Prince Edward Island
Prince Edward Island,Women+,Slavic languages,55,Prince Edward Island
Prince Edward Island,Women+,Russian,45,Prince Edward Island
Prince Edward Island,Women+,Dutch,10,Prince Edward Island
Prince Edward Island,Women+,Bengali,20,Prince Edward Island
Prince Edward Island,Women+,Gujarati,20,Prince Edward Island
Prince Edward Island,Women+,Hindi,25,Prince Edward Island
Prince Edward Island,Women+,Marathi,10,Prince Edward Island
Prince Edward Island,Women+,Nepali,10,Prince Edward Island
Prince Edward Island,Women+,Punjabi (Panjabi),100,Prince Edward Island
Prince Edward Island,Women+,Sinhala (Sinhalese),10,Prince Edward Island
Prince Edward Island,Women+,Urdu,10,Prince Edward Island
Prince Edward Island,Women+,"Indo-Aryan languages, n.i.e.",10,Prince Edward Island
Prince Edward Island,Women+,Iranian Persian,10,Prince Edward Island
Prince Edward Island,Women+,Portuguese,25,Prince Edward Island
Prince Edward Island,Women+,Romanian,10,Prince Edward Island
Prince Edward Island,Women+,Spanish,55,Prince Edward Island
Prince Edward Island,Women+,Korean,10,Prince Edward Island
Prince Edward Island,Women+,Mandarin,560,Prince Edward Island
Prince Edward Island,Women+,Yue (Cantonese),30,Prince Edward Island
Nova Scotia,Men+,English,3790,Nova Scotia
Nova Scotia,Men+,French,160,Nova Scotia
Nova Scotia,Men+,Oromo,25,Nova Scotia
Nova Scotia,Men+,Somali,60,Nova Scotia
Nova Scotia,Men+,Amharic,20,Nova Scotia
Nova Scotia,Men+,Arabic,1775,Nova Scotia
Nova Scotia,Men+,Hebrew,50,Nova Scotia
Nova Scotia,Men+,Tigrigna,15,Nova Scotia
Nova Scotia,Men+,Vietnamese,100,Nova Scotia
Nova Scotia,Men+,"Bisaya, n.o.s.",40,Nova Scotia
Nova Scotia,Men+,Cebuano,25,Nova Scotia
Nova Scotia,Men+,Ilocano,20,Nova Scotia
Nova Scotia,Men+,"Pampangan (Kapampangan, Pampango)",10,Nova Scotia
Nova Scotia,Men+,"Tagalog (Pilipino, Filipino)",845,Nova Scotia
Nova Scotia,Men+,"Austronesian languages, n.i.e.",20,Nova Scotia
Nova Scotia,Men+,"Creole languages, n.i.e.",35,Nova Scotia
Nova Scotia,Men+,Kannada,15,Nova Scotia
Nova Scotia,Men+,Malayalam,295,Nova Scotia
Nova Scotia,Men+,Tamil,235,Nova Scotia
Nova Scotia,Men+,Telugu,170,Nova Scotia
Nova Scotia,Men+,Albanian,45,Nova Scotia
Nova Scotia,Men+,Slavic languages,325,Nova Scotia
Nova Scotia,Men+,Bulgarian,15,Nova Scotia
Nova Scotia,Men+,Polish,10,Nova Scotia
Nova Scotia,Men+,Russian,230,Nova Scotia
Nova Scotia,Men+,Serbo-Croatian,25,Nova Scotia
Nova Scotia,Men+,Croatian,10,Nova Scotia
Nova Scotia,Men+,Serbian,15,Nova Scotia
Nova Scotia,Men+,Ukrainian,40,Nova Scotia
Nova Scotia,Men+,German,115,Nova Scotia
Nova Scotia,Men+,Afrikaans,35,Nova Scotia
Nova Scotia,Men+,Dutch,30,Nova Scotia
Nova Scotia,Men+,Bengali,220,Nova Scotia
Nova Scotia,Men+,Gujarati,200,Nova Scotia
Nova Scotia,Men+,Hindi,495,Nova Scotia
Nova Scotia,Men+,Marathi,90,Nova Scotia
Nova Scotia,Men+,Nepali,15,Nova Scotia
Nova Scotia,Men+,Odia,10,Nova Scotia
Nova Scotia,Men+,Punjabi (Panjabi),275,Nova Scotia
Nova Scotia,Men+,Sinhala (Sinhalese),15,Nova Scotia
Nova Scotia,Men+,Urdu,210,Nova Scotia
Nova Scotia,Men+,Kurdish,95,Nova Scotia
Nova Scotia,Men+,Pashto,10,Nova Scotia
Nova Scotia,Men+,Dari,25,Nova Scotia
Nova Scotia,Men+,Iranian Persian,80,Nova Scotia
Nova Scotia,Men+,"Persian (Farsi), n.o.s.",10,Nova Scotia
Nova Scotia,Men+,Italian,20,Nova Scotia
Nova Scotia,Men+,Portuguese,150,Nova Scotia
Nova Scotia,Men+,Romanian,30,Nova Scotia
Nova Scotia,Men+,Spanish,225,Nova Scotia
Nova Scotia,Men+,Korean,235,Nova Scotia
Nova Scotia,Men+,Akan (Twi),25,Nova Scotia
Nova Scotia,Men+,Igbo,60,Nova Scotia
Nova Scotia,Men+,Kinyarwanda (Rwanda),10,Nova Scotia
Nova Scotia,Men+,Rundi (Kirundi),10,Nova Scotia
Nova Scotia,Men+,Shona,10,Nova Scotia
Nova Scotia,Men+,Swahili,55,Nova Scotia
Nova Scotia,Men+,Yoruba,145,Nova Scotia
Nova Scotia,Men+,"Niger-Congo languages, n.i.e.",70,Nova Scotia
Nova Scotia,Men+,Dinka,20,Nova Scotia
Nova Scotia,Men+,"Nilo-Saharan languages, n.i.e.",10,Nova Scotia
Nova Scotia,Men+,Mandarin,870,Nova Scotia
Nova Scotia,Men+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",10,Nova Scotia
Nova Scotia,Men+,Wu (Shanghainese),10,Nova Scotia
Nova Scotia,Men+,Yue (Cantonese),60,Nova Scotia
Nova Scotia,Men+,"Chinese, n.o.s.",25,Nova Scotia
Nova Scotia,Men+,"Tibeto-Burman languages, n.i.e.",15,Nova Scotia
Nova Scotia,Men+,Thai,20,Nova Scotia
Nova Scotia,Men+,Azerbaijani,15,Nova Scotia
