Canadian Province/CMA,Visible minority,"Highest certificate, diploma or degree",Gender,Total - Labour force status,In the labour force,Employed,Unemployed,Not in the labour force,Participation rate,Employment rate,Unemployment rate
Alberta,Southeast Asian,High (secondary) school diploma or equivalency certificate,Women+ ,585.0,380.0,300.0,80.0,200.0,65.0,51.3,21.1
Alberta,Southeast Asian,"No certificate, diploma or degree",Men+ ,245.0,120.0,85.0,40.0,120.0,49.0,34.7,33.3
Alberta,Southeast Asian,"No certificate, diploma or degree",Women+ ,485.0,230.0,150.0,80.0,260.0,47.4,30.9,34.8
Alberta,Southeast Asian,University certificate or diploma below bachelor level,Men+ ,70.0,65.0,60.0,10.0,0.0,92.9,85.7,15.4
Alberta,Southeast Asian,University certificate or diploma below bachelor level,Women+ ,170.0,140.0,125.0,15.0,35.0,82.4,73.5,10.7
Alberta,"Visible minority, n.i.e.",Apprenticeship or trades certificate or diploma,Men+ ,20.0,15.0,15.0,0.0,0.0,75.0,75.0,0.0
Alberta,"Visible minority, n.i.e.",Apprenticeship or trades certificate or diploma,Women+ ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,"Visible minority, n.i.e.",Bachelor's degree or higher,Men+ ,120.0,105.0,105.0,0.0,10.0,87.5,87.5,0.0
Alberta,"Visible minority, n.i.e.",Bachelor's degree or higher,Women+ ,120.0,70.0,60.0,0.0,55.0,58.3,50.0,0.0
Alberta,"Visible minority, n.i.e.","College, CEGEP or other non-university certificate or diploma",Men+ ,35.0,35.0,25.0,0.0,0.0,100.0,71.4,0.0
Alberta,"Visible minority, n.i.e.","College, CEGEP or other non-university certificate or diploma",Women+ ,35.0,25.0,25.0,0.0,0.0,71.4,71.4,0.0
Alberta,"Visible minority, n.i.e.",High (secondary) school diploma or equivalency certificate,Men+ ,80.0,55.0,50.0,10.0,25.0,68.8,62.5,18.2
Alberta,"Visible minority, n.i.e.",High (secondary) school diploma or equivalency certificate,Women+ ,85.0,45.0,40.0,0.0,35.0,52.9,47.1,0.0
Alberta,"Visible minority, n.i.e.","No certificate, diploma or degree",Men+ ,180.0,90.0,80.0,15.0,85.0,50.0,44.4,16.7
Alberta,"Visible minority, n.i.e.","No certificate, diploma or degree",Women+ ,155.0,25.0,25.0,0.0,130.0,16.1,16.1,0.0
Alberta,"Visible minority, n.i.e.",University certificate or diploma below bachelor level,Men+ ,10.0,10.0,10.0,0.0,0.0,100.0,100.0,0.0
Alberta,"Visible minority, n.i.e.",University certificate or diploma below bachelor level,Women+ ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,West Asian,Apprenticeship or trades certificate or diploma,Men+ ,30.0,20.0,20.0,0.0,10.0,66.7,66.7,0.0
Alberta,West Asian,Apprenticeship or trades certificate or diploma,Women+ ,30.0,15.0,15.0,0.0,10.0,50.0,50.0,0.0
Alberta,West Asian,Bachelor's degree or higher,Men+ ,635.0,560.0,500.0,55.0,75.0,88.2,78.7,9.8
Alberta,West Asian,Bachelor's degree or higher,Women+ ,650.0,475.0,410.0,70.0,175.0,73.1,63.1,14.7
Alberta,West Asian,"College, CEGEP or other non-university certificate or diploma",Men+ ,80.0,70.0,60.0,15.0,10.0,87.5,75.0,21.4
Alberta,West Asian,"College, CEGEP or other non-university certificate or diploma",Women+ ,100.0,80.0,70.0,10.0,25.0,80.0,70.0,12.5
Alberta,West Asian,High (secondary) school diploma or equivalency certificate,Men+ ,315.0,210.0,180.0,35.0,100.0,66.7,57.1,16.7
Alberta,West Asian,High (secondary) school diploma or equivalency certificate,Women+ ,280.0,175.0,150.0,20.0,105.0,62.5,53.6,11.4
Alberta,West Asian,"No certificate, diploma or degree",Men+ ,255.0,110.0,85.0,25.0,140.0,43.1,33.3,22.7
Alberta,West Asian,"No certificate, diploma or degree",Women+ ,465.0,105.0,65.0,40.0,360.0,22.6,14.0,38.1
Alberta,West Asian,University certificate or diploma below bachelor level,Men+ ,50.0,40.0,40.0,0.0,10.0,80.0,80.0,0.0
Alberta,West Asian,University certificate or diploma below bachelor level,Women+ ,50.0,35.0,35.0,0.0,10.0,70.0,70.0,0.0
"Alma (CA), Que.",Arab,Apprenticeship or trades certificate or diploma,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,Apprenticeship or trades certificate or diploma,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,Bachelor's degree or higher,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,Bachelor's degree or higher,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,"College, CEGEP or other non-university certificate or diploma",Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,"College, CEGEP or other non-university certificate or diploma",Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,High (secondary) school diploma or equivalency certificate,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,High (secondary) school diploma or equivalency certificate,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,"No certificate, diploma or degree",Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,"No certificate, diploma or degree",Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,University certificate or diploma below bachelor level,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Arab,University certificate or diploma below bachelor level,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,Apprenticeship or trades certificate or diploma,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,Apprenticeship or trades certificate or diploma,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,Bachelor's degree or higher,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,Bachelor's degree or higher,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,"College, CEGEP or other non-university certificate or diploma",Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,"College, CEGEP or other non-university certificate or diploma",Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,High (secondary) school diploma or equivalency certificate,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,High (secondary) school diploma or equivalency certificate,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,"No certificate, diploma or degree",Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,"No certificate, diploma or degree",Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,University certificate or diploma below bachelor level,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Black,University certificate or diploma below bachelor level,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,Apprenticeship or trades certificate or diploma,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,Apprenticeship or trades certificate or diploma,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,Bachelor's degree or higher,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,Bachelor's degree or higher,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,"College, CEGEP or other non-university certificate or diploma",Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,"College, CEGEP or other non-university certificate or diploma",Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,High (secondary) school diploma or equivalency certificate,Men+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alma (CA), Que.",Chinese,High (secondary) school diploma or equivalency certificate,Women+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
